GPI per Capita and Sub-Indicators,US Population,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,\Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
State Code,Weighted Avg,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
Genuine Progress Indicator,"17,299","-1,757","64,504","16,245",-36,"23,607","20,655","29,092","21,490","18,953","11,322","28,974","18,537","17,127","6,424","10,002","11,287","1,290","-10,403","20,563","26,618","34,212","15,637","21,223",-483,"11,933","13,104","12,401","23,915","26,419","26,080","8,360","28,026","12,274","-8,425","13,901","5,160","24,110","15,602","26,215","6,305","21,948","10,640","5,347","16,057","24,663","21,592","28,340","-5,734","16,240","-32,702"
Personal Consumption Expenditures,"34,372","28,269","35,142","34,267","27,227","37,281","34,794","41,765","37,143","36,398","31,071","36,731","31,090","34,627","30,878","31,174","30,770","29,190","32,261","36,251","38,723","44,787","31,211","36,179","28,061","32,213","35,516","32,147","34,319","38,388","40,453","31,448","38,934","30,665","37,150","31,063","30,644","34,960","34,375","36,448","30,653","33,684","30,911","30,635","29,880","37,249","36,134","38,230","30,775","32,541","34,282"
Cost of Inequality,"-7,885","-6,716","-4,192","-7,375","-6,243","-9,312","-7,417","-10,736","-6,697","-9,086","-7,556","-5,901","-5,110","-8,132","-5,890","-5,244","-5,763","-6,812","-8,179","-7,228","-7,422","-10,899","-6,781","-6,737","-6,667","-6,993","-6,049","-6,167","-6,946","-6,508","-9,342","-7,900","-11,008","-7,192","-6,999","-6,654","-6,663","-7,440","-7,462","-8,297","-6,846","-5,562","-7,448","-7,455","-4,494","-6,035","-7,973","-7,209","-7,242","-5,659","-3,957"
Benefits of Consumer Durables,"6,238","5,263","6,465","5,281","4,938","6,653","6,358","8,812","6,517","6,104","5,488","6,147","4,930","6,733","5,488","5,924","5,973","5,139","5,546","5,934","7,712","8,042","5,888","6,613","4,786","5,757","5,149","6,113","5,991","7,136","8,133","4,943","7,618","5,399","5,762","5,851","5,471","5,566","6,516","6,843","5,012","5,896","5,479","5,592","4,803","6,368","6,860","6,432","4,870","6,085","6,688"
Cost of Consumer Durables,"-3,618","-2,992","-4,121","-3,036","-2,915","-3,826","-3,784","-4,947","-3,666","-3,417","-3,115","-3,735","-2,864","-3,778","-3,113","-3,638","-3,604","-2,959","-3,308","-3,330","-4,488","-4,644","-3,172","-3,866","-2,758","-3,254","-3,145","-3,739","-3,203","-4,072","-4,568","-2,979","-4,447","-3,128","-4,044","-3,311","-3,337","-3,233","-3,753","-3,822","-2,928","-3,841","-3,180","-3,521","-2,927","-3,676","-4,037","-3,805","-2,897","-3,482","-4,215"
Cost of Underemployment,"-1,393","-1,130","-1,372","-1,447",-922,"-2,091","-1,493","-1,690","-1,179","-1,361","-1,377","-1,253","-1,172","-1,581","-1,184",-932,-987,"-1,119",-917,"-1,258","-1,354","-1,604","-1,521","-1,281",-995,"-1,144","-1,102",-742,"-1,900","-1,119","-1,654","-1,041","-1,443","-1,392",-563,"-1,198",-750,"-1,540","-1,201","-1,844","-1,278",-693,"-1,155","-1,149","-1,023","-1,116","-1,170","-1,780",-842,"-1,235",-941
Net Capital Investment,828,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Cost of Water Pollution,-143,-59,-129,-75,-109,-208,-75,-69,-219,-190,-98,-222,-164,-171,-183,-183,-206,-116,-186,-14,-150,-179,-118,-195,-174,-89,-191,-162,-162,-222,-206,-163,-93,-111,-86,-219,-197,-183,-41,-106,-102,-99,-83,-92,-74,-104,-171,-164,-125,-147,-46
Cost of Air Pollution,-48,-30, -   ,-35,-33,-149,-57,-15,-15,-20,-54, -   , -   ,-31,-26, -   ,-41,-35,-45,-4,-31,-10,-23,-1,-13,-53, -   , -   ,-31,-2,-22,-23,-24,-29, -   ,-35,-83,-1,-31,-6,-15, -   ,-35,-102,-44,-1,-22, -   ,-9,-14,-63
